ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
GOOG
META
BRK-B
LLY
AVGO
JPM
V
WMT
XOM
UNH
MA
COST
NFLX
ORCL
HD
PG
JNJ
ABBV
BAC
KO
CRM
CVX
AMD
MRK
PEP
TMO
CSCO
ACN
MCD
LIN
ABT
WFC
IBM
GE
INTU
CAT
QCOM
NOW
TXN
DIS
AMGN
ISRG
VZ
PM
RTX
SPGI
BKNG
LOW
NEE
PFE
AMAT
HON
AXP
UBER
GS
T
MS
SYK
ELV
BLK
C
ETN
TJX
LRCX
VRTX
MDT
SCHW
CB
BSX
GILD
ADP
ADI
MMC
PLD
PANW
MU
SBUX
CI
DE
KLAC
TMUS
SO
DUK
ICE
CME
MO
SHW
CL
ZTS
EQIX
APH
MCO
NOC
GD
REGN
WM
EOG
ITW
USB
EMR
CSX
NSC
AON
PNC
MCK
FDX
TGT
GM
F
MAR
ORLY
NXPI
PSX
SLB
COP
